Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create action,30000,1986,267,4818,15840,31890,2,32277,0.000%,756.01028,332.23,563.32
Retrive action,30000,232,180,503,634,883,0,1410,0.000%,756.18179,310.15,104.86
Pay,30000,257,207,546,673,958,1,1496,0.000%,756.18179,307.94,203.08
TOTAL,90000,825,214,631,1080,16890,0,32277,0.000%,2267.63083,950.01,871.03
