Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create action,120,196,127,547,570,572,112,578,0.000%,47.39336,23.42,36.19
Retrive action,120,120,120,128,134,146,105,148,0.000%,55.89194,25.98,8.79
Pay,120,128,125,146,149,157,111,157,0.000%,55.94406,25.84,16.06
TOTAL,360,148,123,148,518,570,105,578,0.000%,129.58963,61.38,52.18
